id,lat,lon,severity,time_of_day_Night,time_of_day_Morning,time_of_day_Afternoon,time_of_day_Evening,month,day_of_week,risk_level_encoded
345906,51.511963,-0.028211,0,1,0,0,0,1,3,2
345907,51.371636,-0.117621,0,0,0,0,1,1,2,2
345908,51.514951,-0.072747,0,0,0,0,1,1,2,2
345909,51.519173,-0.262356,0,0,1,0,0,1,3,2
345910,51.565743,-0.136308,0,0,1,0,0,1,3,1
345911,51.551805,0.130436,0,0,0,0,1,1,2,0
345912,51.391461,-0.112869,0,0,1,0,0,1,3,2
345913,51.427047,-0.166814,0,0,0,1,0,1,2,2
345914,51.47538,-0.395505,1,0,1,0,0,1,3,1
345915,51.465106,-0.248171,0,0,0,1,0,1,3,0
345916,51.506781,-0.128527,1,0,1,0,0,1,3,2
345917,51.50048,-0.158812,0,0,1,0,0,1,3,1
345918,51.536686,0.050838,0,0,0,1,0,1,3,2
345919,51.495119,-0.179456,0,0,0,1,0,1,3,1
345920,51.523469,-0.164818,1,0,0,1,0,1,3,2
345921,51.434969,0.132448,0,0,0,1,0,1,3,0
345922,51.473705,-0.068524,0,0,0,0,1,1,3,2
345923,51.481538,-0.026456,0,0,0,1,0,1,3,1
345924,51.54266,0.251211,0,0,0,1,0,1,3,0
345925,51.566434,0.145376,0,0,0,1,0,1,2,0
345926,51.413656,-0.204524,1,0,0,0,1,1,3,1
345927,51.498485,-0.264411,1,0,0,0,1,1,3,2
345928,51.417659,-0.073764,1,0,0,0,1,1,3,1
345929,51.421329,-0.252852,0,0,0,0,1,1,3,0
345930,51.52142,-0.161989,0,0,0,0,1,1,3,2
345931,51.556862,0.084724,0,0,0,1,0,1,3,0
345932,51.426704,-0.155306,0,0,0,0,1,1,3,2
345933,51.466859,-0.047764,1,0,0,0,1,1,3,1
345934,51.456756,-0.192728,0,1,0,0,0,1,3,2
345935,51.505163,-0.148363,0,1,0,0,0,1,4,2
345936,51.584185,-0.265824,0,0,0,0,1,1,3,1
345937,51.445038,-0.095033,0,1,0,0,0,1,4,2
345938,51.605589,-0.420841,0,0,0,0,1,1,3,1
345939,51.395812,-0.108363,0,1,0,0,0,1,4,2
345940,51.424603,-0.18833,0,0,0,0,1,1,2,1
345941,51.527588,-0.021582,0,0,1,0,0,1,4,2
345942,51.652428,-0.076534,0,0,0,1,0,1,3,1
345943,51.549313,-0.227357,0,0,1,0,0,1,4,1
345944,51.598328,0.159253,0,0,1,0,0,1,4,0
345945,51.494557,-0.100907,0,0,1,0,0,1,4,2
345946,51.425175,-0.139904,0,0,1,0,0,1,4,2
345947,51.514834,-0.061827,0,0,0,1,0,1,3,2
345948,51.570011,0.013578,0,0,0,1,0,1,3,0
345949,51.564117,-0.130733,0,0,0,1,0,1,4,1
345950,51.567139,-0.206275,1,0,1,0,0,1,4,2
345951,51.534585,-0.138071,0,0,0,1,0,1,4,2
345952,51.555496,0.066875,1,1,0,0,0,1,3,0
345953,51.407879,-0.03505,0,0,0,1,0,1,4,1
345954,51.502306,-0.187137,0,0,0,1,0,1,4,1
345955,51.593361,-0.333156,0,0,0,1,0,1,3,0
345956,51.482444,-0.172198,0,0,0,1,0,1,4,1
345957,51.49131,-0.282848,0,0,0,1,0,1,4,1
345958,51.462683,-0.135399,0,0,0,1,0,1,4,2
345959,51.452685,0.005086,0,0,0,1,0,1,3,1
345960,51.486872,-0.170105,1,0,0,1,0,1,4,1
345961,51.406437,0.01908,0,0,0,1,0,1,4,1
348291,51.552111,-0.300335,0,0,0,1,0,2,1,1
348292,51.445068,0.15308,1,0,0,1,0,2,1,0
348293,51.585638,0.054139,0,0,1,0,0,1,0,0
348294,51.465243,-0.378282,0,0,0,1,0,2,3,1
348295,51.516526,-0.128906,0,0,1,0,0,2,2,2
348296,51.406635,-0.120901,0,0,0,1,0,2,1,2
348297,51.572629,-0.090887,0,0,0,1,0,2,1,2
348298,51.405182,-0.034001,0,0,0,0,1,2,0,1
348299,51.591816,-0.212276,0,0,0,1,0,2,1,2
348300,51.520288,-0.071931,0,0,0,0,1,2,1,2
348301,51.428112,-0.354999,0,0,1,0,0,2,0,0
348302,51.392118,-0.307205,0,0,1,0,0,2,1,0
348303,51.379371,-0.191927,0,0,0,1,0,2,1,0
348304,51.570898,-0.272217,1,0,0,0,1,2,1,1
348305,51.473513,-0.072161,1,0,0,1,0,2,1,2
348306,51.505909,-0.0217,0,0,0,0,1,2,1,2
348307,51.362312,-0.19188,1,0,0,0,1,2,1,0
348308,51.46161,-0.111589,0,0,0,0,1,2,1,2
348309,51.589373,-0.20244,0,0,0,1,0,2,0,2
348310,51.519242,-0.375111,0,0,0,1,0,2,1,2
348311,51.512458,-0.115771,0,0,0,0,1,2,1,2
348312,51.607565,0.120697,0,0,0,0,1,2,1,0
348313,51.520989,-0.229278,0,0,0,0,1,2,1,0
348314,51.590112,0.081973,0,0,0,0,1,2,1,0
348315,51.357243,0.106587,0,0,0,0,1,2,1,1
348316,51.559925,0.081849,0,0,1,0,0,2,1,0
348317,51.568172,-0.061479,0,0,0,0,1,2,1,2
348318,51.582559,0.020181,1,0,0,0,1,2,1,0
348319,51.590204,-0.143796,0,0,0,0,1,2,1,1
348320,51.423102,-0.016245,1,1,0,0,0,2,2,1
348321,51.629811,-0.157207,0,0,0,1,0,2,1,2
348322,51.49945,-0.383523,1,0,1,0,0,2,1,2
348323,51.525883,-0.135976,1,0,1,0,0,2,2,2
348324,51.513697,-0.269684,0,0,1,0,0,2,2,2
348325,51.48125,-0.206076,0,0,1,0,0,2,2,0
348326,51.460609,-0.161756,1,0,0,1,0,2,2,2
348327,51.55335,-0.161899,0,0,0,1,0,2,2,2
348328,51.537076,-0.061459,0,0,0,1,0,1,1,2
348329,51.506386,-0.208014,0,0,1,0,0,1,1,1
348330,51.535918,-0.205138,0,0,0,0,1,1,6,1
348331,51.485449,-0.125051,0,0,0,1,0,2,2,2
348332,51.600905,-0.01626,0,0,0,1,0,2,2,0
348333,51.464046,-0.164785,0,0,1,0,0,2,5,2
348334,51.396654,-0.311192,0,0,1,0,0,2,2,0
348335,51.47744,-0.347624,0,0,0,0,1,2,2,1
348336,51.554071,-0.477135,0,0,0,0,1,2,2,1
348337,51.543248,0.147948,0,0,0,0,1,2,5,0
348338,51.658893,-0.085861,0,0,1,0,0,2,2,1
348339,51.428062,0.091558,1,0,1,0,0,2,2,0
348340,51.480254,-0.196264,0,0,1,0,0,2,2,0
348341,51.633489,-0.070992,0,0,1,0,0,2,2,1
348342,51.497407,-0.203597,0,0,1,0,0,2,2,1
348343,51.385365,-0.100703,1,0,1,0,0,2,2,2
348344,51.515577,0.104819,0,0,1,0,0,2,2,0
348345,51.527541,-0.023069,0,0,1,0,0,2,2,2
348346,51.588909,-0.080041,0,0,0,1,0,2,0,1
348347,51.564558,0.129849,0,0,0,1,0,2,2,0
345962,51.5018,-0.161511,0,0,1,0,0,1,4,2
345963,51.513742,-0.120099,1,0,0,1,0,1,4,2
345964,51.472018,0.022939,0,0,0,1,0,1,4,0
345965,51.52333,-0.149068,0,0,0,1,0,1,4,2
345966,51.565142,-0.134702,0,0,0,0,1,1,4,1
345967,51.38092,-0.18389,0,0,0,0,1,1,4,0
345968,51.528377,-0.181417,0,0,0,1,0,1,4,2
345969,51.539816,-0.19541,0,0,1,0,0,1,4,2
345970,51.604169,-0.336298,0,0,0,1,0,1,4,0
345971,51.383828,-0.061777,0,0,0,0,1,1,4,2
345972,51.454091,-0.14761,0,0,0,0,1,1,3,2
345973,51.640578,-0.062439,0,0,0,0,1,1,4,1
345974,51.511935,-0.120159,0,0,0,0,1,1,4,2
345975,51.494552,-0.100619,1,0,1,0,0,1,4,2
345976,51.557281,-0.006127,0,0,0,0,1,1,4,0
345977,51.46191,-0.066561,0,0,0,0,1,1,4,2
