id,casualty_age_0-23,casualty_age_24-30,casualty_age_31-38,casualty_age_39-50,casualty_age_50+
345828,0,0,0,0,1
345829,0,1,0,0,0
345830,1,0,0,0,0
345831,0,0,0,0,1
345832,1,0,0,1,0
345833,1,1,0,1,0
345834,0,0,0,1,0
345835,1,4,0,0,0
345836,0,0,0,0,1
345837,0,0,1,0,0
345838,1,0,0,0,0
345839,0,1,0,0,0
345840,0,0,1,0,0
345841,0,0,1,0,0
345842,0,1,0,0,0
345843,1,0,0,0,0
345844,0,1,0,0,0
345845,0,0,0,1,0
345846,0,1,0,0,0
345847,0,0,1,0,0
345848,0,1,0,0,0
345849,1,0,0,0,0
345850,0,1,0,0,0
345851,0,0,0,0,1
345852,1,2,0,0,0
345853,1,0,0,0,0
345854,0,0,0,0,1
345855,1,0,0,0,0
345856,0,0,0,1,0
345857,0,0,1,0,0
345858,0,0,1,0,0
345859,0,0,1,0,0
345860,0,0,0,1,0
345861,0,0,0,1,0
345862,0,0,0,1,0
345863,0,0,1,0,0
345864,0,0,0,1,0
345865,1,0,0,0,0
345866,0,0,0,1,0
345867,0,0,1,0,0
345868,0,0,1,0,0
345869,0,0,0,2,0
345870,1,0,0,0,0
345871,0,0,0,1,0
345872,0,0,1,0,0
345873,0,1,0,0,0
345874,0,0,0,1,0
345875,1,0,0,0,0
345876,1,0,0,0,3
345877,1,0,0,0,0
345878,1,0,0,1,0
345879,0,1,0,0,0
345880,0,1,0,0,0
345881,0,0,0,1,1
345882,0,0,0,1,0
345883,1,0,0,0,0
345884,0,1,1,0,0
345885,1,1,0,0,0
345886,0,0,0,1,0
345887,1,0,0,0,0
345888,1,0,0,0,0
345889,0,1,0,0,0
345890,0,0,0,1,0
345891,0,1,0,0,0
345892,0,0,0,0,1
345893,1,0,1,0,0
345894,0,0,0,1,1
345895,0,0,0,1,0
345896,0,0,0,1,0
345897,0,0,1,0,0
345898,1,0,0,0,0
345899,0,1,0,0,0
345900,0,0,0,0,1
345901,0,0,0,0,1
345902,1,0,0,0,0
345903,0,1,0,0,0
345904,0,0,0,1,0
345905,0,0,0,1,0
345906,0,1,0,0,0
345907,0,0,0,1,0
345908,0,1,0,0,0
345909,0,0,0,1,0
345910,1,0,0,0,0
345911,0,0,1,0,0
345912,1,1,0,0,0
345913,0,0,0,1,0
345914,0,0,0,0,1
345915,0,0,1,0,0
345916,0,0,1,0,0
345917,0,1,0,0,0
345918,0,1,0,0,0
345919,1,0,0,0,1
345920,0,1,0,0,1
345921,1,0,0,0,0
345922,0,0,0,0,0
345923,1,0,0,0,0
345924,5,0,0,1,0
345925,0,0,0,0,1
345926,0,0,1,0,0
345927,0,1,0,0,0
345928,0,0,0,1,0
345929,0,0,1,0,0
345930,0,1,0,0,0
345931,3,1,0,0,0
345932,0,1,0,0,0
345933,0,0,1,0,0
345934,0,0,1,0,0
345935,0,0,0,1,0
345936,0,0,0,1,0
345937,0,2,0,1,0
345938,0,0,0,0,2
345939,0,1,0,0,0
345940,0,1,0,0,0
345941,0,1,0,0,0
345942,0,0,0,0,1
345943,0,0,0,1,0
345944,0,0,0,0,1
345945,0,0,0,1,0
345946,0,0,1,0,0
345947,0,0,0,0,0
345948,0,0,1,0,0
345949,0,0,1,0,0
345950,0,1,0,0,0
345951,1,0,0,0,0
345952,1,0,0,0,0
345953,0,0,0,0,2
345954,0,0,0,0,1
345955,0,1,0,0,0
345956,0,0,1,0,0
345957,0,0,0,0,1
345958,1,0,0,0,0
345959,0,1,0,0,0
345960,0,0,0,0,1
345961,0,0,1,0,0
345962,1,0,0,0,0
345963,0,1,0,0,0
345964,0,0,0,0,1
345965,0,0,0,0,1
345966,1,0,0,1,0
345967,1,0,0,0,0
345968,0,0,1,0,0
345969,0,0,1,0,0
345970,0,0,1,0,0
345971,0,0,0,1,0
345972,0,1,0,0,0
345973,0,1,1,0,1
345974,0,0,1,0,0
345975,0,0,0,1,0
345976,0,0,1,0,0
345977,1,0,0,0,0
345978,1,0,0,0,0
345979,1,0,0,0,0
345980,0,1,0,0,0
345981,0,0,0,1,0
345982,1,0,0,0,0
345983,1,1,0,0,0
345984,0,0,0,0,1
345985,0,0,1,0,0
345986,0,0,0,1,0
345987,0,0,1,0,0
345988,1,0,0,0,0
345989,0,0,0,0,1
345990,0,0,0,1,0
345991,0,1,0,0,0
345992,0,1,0,0,0
345993,0,0,0,1,0
345994,0,0,0,0,0
345995,1,0,0,0,0
345996,0,0,1,0,0
345997,0,0,0,1,0
345998,0,0,0,0,1
345999,0,0,0,1,0
346000,0,0,1,0,0
346001,0,0,0,0,1
346002,0,0,0,1,0
346003,1,0,0,0,0
346004,1,0,0,0,0
346005,0,0,0,1,0
346006,0,1,0,0,0
346007,1,0,0,0,0
346008,0,1,0,0,0
346009,0,2,0,0,0
346010,1,0,0,0,1
346011,0,1,0,0,0
346012,0,0,0,1,0
346013,0,1,0,1,0
346014,0,1,0,0,0
346015,1,0,0,0,0
346016,0,0,3,0,0
346017,0,0,0,1,0
346018,1,0,0,0,0
346019,1,0,0,0,0
346020,0,0,0,0,1
346021,0,1,0,0,0
346022,0,0,0,1,0
346023,2,1,0,1,0
346024,0,0,0,0,4
346025,1,0,0,0,0
346026,0,1,0,0,0
346027,0,0,1,0,0
346028,0,1,0,1,0
346029,0,0,0,0,1
346030,0,0,0,1,0
346031,0,0,0,2,0
346032,1,0,0,0,0
