iter	MultiClass
0	0.9819485178
1	0.8930673815
2	0.8230375121
3	0.7664622272
4	0.7199157233
5	0.6813237697
6	0.6488871933
7	0.621466879
8	0.5980147953
9	0.5779279226
10	0.5606219447
11	0.5456395603
12	0.5326454684
13	0.5213272277
14	0.5114187365
15	0.5027874703
16	0.4952063065
17	0.4885236146
18	0.4826153984
19	0.4774792467
20	0.4728935149
21	0.4687691556
22	0.4652302618
23	0.4620632279
24	0.4592275842
25	0.4567088469
26	0.4544928883
27	0.4525566776
28	0.4507538615
29	0.4491698969
30	0.4478342152
31	0.4465549704
32	0.4454693651
33	0.4444565488
34	0.4435231288
35	0.4427432267
36	0.4420579614
37	0.4414423253
38	0.4409243478
39	0.4403290126
40	0.4399126252
41	0.4395164079
42	0.4391550535
43	0.4387963131
44	0.4385274981
45	0.4382346501
46	0.4379729555
47	0.4377375724
48	0.437528013
49	0.4373310411
50	0.4370932902
51	0.4369240804
52	0.4367093278
53	0.436526185
54	0.4363610758
55	0.4362305145
56	0.436066504
57	0.435917743
58	0.4357201309
59	0.4356060081
60	0.4353893152
61	0.435268771
62	0.4351568635
63	0.4350435779
64	0.4349066276
65	0.4348124994
66	0.4346281167
67	0.4344787146
68	0.4343746727
69	0.4342008421
70	0.4340958285
71	0.4340010693
72	0.4338642909
73	0.4337284116
74	0.4336121728
75	0.4335093521
76	0.4333930625
77	0.4332421165
78	0.4331268212
79	0.4330045941
80	0.4328765688
81	0.4327449522
82	0.4326667723
83	0.4326206607
84	0.4325029859
85	0.4324048973
86	0.4322919082
87	0.4321784375
88	0.4320884634
89	0.4320012157
90	0.4318499014
91	0.4316910773
92	0.4315813452
93	0.4314224344
94	0.4313230509
95	0.4312622866
96	0.4311657309
97	0.431075848
98	0.4309487948
99	0.430881195
100	0.4307570372
101	0.4307243609
102	0.4306358213
103	0.4305713976
104	0.4305290661
105	0.4304646492
106	0.4303571471
107	0.430235491
108	0.4301125769
109	0.4300113318
110	0.4298974156
111	0.429806263
112	0.4296748313
113	0.4295408887
114	0.429436231
115	0.4293132017
116	0.4292051388
117	0.4291469549
118	0.4289938683
119	0.4289196558
120	0.4288442076
121	0.4286551632
122	0.4285367813
123	0.4284350525
124	0.4283107897
125	0.4282296959
126	0.4280936602
127	0.4279700462
128	0.4278181057
129	0.427724995
130	0.4276247756
131	0.4274997365
132	0.4274042318
133	0.4272609028
134	0.4271136387
135	0.4269890997
136	0.4268994308
137	0.4267719827
138	0.4266331285
139	0.4265506836
140	0.4264911454
141	0.4263928443
142	0.4263294328
143	0.4262574993
144	0.4261587295
145	0.4260528597
146	0.4259665474
147	0.4258933458
148	0.4257711409
149	0.4256800937
150	0.4255857193
151	0.4254975051
152	0.4253681334
153	0.4252445775
154	0.4251400749
155	0.4250508769
156	0.4249290772
157	0.4248623572
158	0.4247589207
159	0.424702862
160	0.4246072756
161	0.4245328693
162	0.4244413145
163	0.4243331763
164	0.4242412778
165	0.4241332535
166	0.4240188772
167	0.4238289368
168	0.4237389331
169	0.4236197523
170	0.42353967
171	0.423420916
172	0.4233556956
173	0.4232532446
174	0.4231904391
175	0.4230657833
176	0.4229362464
177	0.4228245818
178	0.4227396905
179	0.4226219087
180	0.4225135703
181	0.4223936
182	0.4222821265
183	0.4221854523
184	0.4220748912
185	0.4220020177
186	0.4219287971
187	0.421845614
188	0.4217710998
189	0.4216721392
190	0.4215617689
191	0.4214726723
192	0.4213667888
193	0.4213074473
194	0.4212420144
195	0.4211425361
196	0.4210544028
197	0.4210116145
198	0.4208896822
199	0.4208192936
200	0.4207331383
201	0.4206180763
202	0.4205097104
203	0.4204156481
204	0.420347131
205	0.4202359891
206	0.4201909633
207	0.4200786351
208	0.4200249449
209	0.4199265823
210	0.4198299073
211	0.4197667556
212	0.4196925097
213	0.41957998
214	0.4195588436
215	0.4194763581
216	0.4193795436
217	0.419320355
218	0.4192743778
219	0.4191555044
220	0.4190833119
221	0.4190086732
222	0.4189303376
223	0.4188208474
224	0.4187082242
225	0.4186715328
226	0.4185886712
227	0.4184954915
228	0.4184392416
229	0.4183913981
230	0.4183222215
231	0.4182259241
232	0.4181841195
233	0.4181332657
234	0.4180709813
235	0.4180161341
236	0.4179359661
237	0.4178025027
238	0.4177135567
239	0.4176030183
240	0.4175162353
241	0.4174300054
242	0.4173909664
243	0.4173086292
244	0.4172214246
245	0.4171649139
246	0.4170952938
247	0.417017337
248	0.4169512149
249	0.4169058551
250	0.4168672405
251	0.4167513567
252	0.4166849487
253	0.4165701432
254	0.4165261015
255	0.4164574533
256	0.41632882
257	0.4162460886
258	0.4161752476
259	0.4161037412
260	0.4160159567
261	0.415932157
262	0.4158607818
263	0.4158025561
264	0.4157298567
265	0.4156452402
266	0.4155505174
267	0.4154462381
268	0.415335189
269	0.4152742821
270	0.4151797737
271	0.4151267138
272	0.4150797058
273	0.4149348906
274	0.4148781379
275	0.4148140171
276	0.4147150139
277	0.4146376219
278	0.4145540179
279	0.4144574969
280	0.4143515401
281	0.4143141704
282	0.4142169747
283	0.4141260437
284	0.4140508985
285	0.4139680725
286	0.413868584
287	0.4137596513
288	0.4136946449
289	0.4135611586
290	0.4134929986
291	0.4134506423
292	0.4133696952
293	0.4132598167
294	0.4131836094
295	0.4130284745
296	0.412962166
297	0.4128744138
298	0.4128107474
299	0.4127150854
