iter	Passed	Remaining
0	167	50101
1	176	26249
2	184	18293
3	193	14343
4	204	12079
5	214	10517
6	225	9453
7	235	8613
8	248	8031
9	260	7548
10	273	7184
11	286	6864
12	297	6574
13	309	6326
14	324	6160
15	339	6023
16	354	5909
17	369	5781
18	384	5682
19	399	5593
20	413	5497
21	426	5391
22	440	5308
23	454	5224
24	470	5176
25	484	5107
26	498	5043
27	514	4994
28	527	4931
29	541	4871
30	553	4798
31	564	4729
32	577	4671
33	594	4650
34	607	4601
35	621	4556
36	636	4522
37	649	4476
38	661	4429
39	676	4395
40	689	4354
41	703	4324
42	717	4290
43	729	4246
44	744	4217
45	757	4180
46	771	4154
47	786	4127
48	799	4097
49	813	4066
50	829	4048
51	842	4016
52	855	3988
53	869	3962
54	882	3933
55	896	3908
56	909	3879
57	923	3852
58	938	3831
59	953	3812
60	967	3791
61	983	3775
62	997	3752
63	1013	3737
64	1028	3718
65	1041	3693
66	1057	3678
67	1073	3663
68	1090	3650
69	1103	3626
70	1115	3598
71	1130	3579
72	1144	3559
73	1157	3535
74	1173	3521
75	1187	3500
76	1203	3484
77	1217	3465
78	1231	3445
79	1248	3432
80	1262	3414
81	1277	3395
82	1293	3381
83	1308	3363
84	1323	3347
85	1336	3325
86	1349	3303
87	1364	3287
88	1379	3269
89	1395	3255
90	1407	3233
91	1422	3215
92	1436	3198
93	1451	3181
94	1464	3160
95	1477	3139
96	1492	3123
97	1507	3107
98	1523	3093
99	1538	3076
100	1555	3063
101	1570	3049
102	1586	3033
103	1602	3019
104	1618	3005
105	1635	2992
106	1649	2974
107	1662	2955
108	1678	2940
109	1691	2922
110	1706	2905
111	1722	2891
112	1737	2874
113	1752	2859
114	1768	2844
115	1785	2832
116	1803	2820
117	1817	2803
118	1833	2788
119	1847	2771
120	1863	2757
121	1877	2739
122	1893	2724
123	1910	2712
124	1926	2696
125	1943	2683
126	1958	2668
127	1974	2652
128	1989	2636
129	2002	2619
130	2017	2602
131	2034	2589
132	2047	2570
133	2061	2553
134	2075	2537
135	2089	2520
136	2105	2504
137	2117	2485
138	2131	2468
139	2146	2453
140	2160	2436
141	2175	2420
142	2188	2402
143	2201	2385
144	2213	2365
145	2225	2347
146	2239	2330
147	2253	2314
148	2267	2298
149	2281	2281
150	2297	2267
151	2311	2251
152	2324	2233
153	2340	2218
154	2356	2204
155	2372	2190
156	2388	2175
157	2403	2159
158	2420	2146
159	2436	2131
160	2450	2115
161	2466	2101
162	2484	2088
163	2500	2073
164	2516	2059
165	2533	2045
166	2548	2029
167	2563	2013
168	2577	1998
169	2591	1981
170	2607	1966
171	2621	1951
172	2635	1934
173	2651	1920
174	2665	1903
175	2678	1887
176	2692	1871
177	2707	1856
178	2723	1840
179	2736	1824
180	2749	1807
181	2765	1792
182	2779	1776
183	2792	1760
184	2807	1745
185	2822	1730
186	2838	1715
187	2851	1699
188	2865	1682
189	2879	1666
190	2893	1651
191	2906	1635
192	2921	1619
193	2937	1604
194	2951	1589
195	2968	1575
196	2983	1559
197	2996	1543
198	3012	1528
199	3026	1513
200	3041	1498
201	3055	1482
202	3068	1466
203	3082	1450
204	3094	1434
205	3107	1418
206	3121	1402
207	3134	1386
208	3148	1371
209	3162	1355
210	3175	1339
211	3188	1323
212	3202	1308
213	3216	1292
214	3228	1276
215	3243	1261
216	3258	1246
217	3272	1231
218	3285	1215
219	3298	1199
220	3312	1184
221	3325	1168
222	3339	1152
223	3352	1137
224	3364	1121
225	3377	1105
226	3393	1091
227	3407	1075
228	3422	1061
229	3436	1046
230	3449	1030
231	3464	1015
232	3479	1000
233	3491	984
234	3504	969
235	3517	953
236	3530	938
237	3543	923
238	3556	907
239	3569	892
240	3583	877
241	3596	861
242	3609	846
243	3623	831
244	3636	816
245	3649	801
246	3663	786
247	3674	770
248	3686	755
249	3699	739
250	3712	724
251	3724	709
252	3740	694
253	3752	679
254	3763	664
255	3778	649
256	3791	634
257	3804	619
258	3817	604
259	3829	589
260	3840	573
261	3853	558
262	3866	543
263	3878	528
264	3890	513
265	3904	499
266	3919	484
267	3935	469
268	3949	455
269	3963	440
270	3982	426
271	3997	411
272	4015	397
273	4032	382
274	4046	367
275	4063	353
276	4078	338
277	4093	323
278	4108	309
279	4123	294
280	4138	279
281	4152	265
282	4167	250
283	4181	235
284	4195	220
285	4209	206
286	4222	191
287	4233	176
288	4246	161
289	4258	146
290	4269	132
291	4280	117
292	4292	102
293	4304	87
294	4316	73
295	4328	58
296	4342	43
297	4353	29
298	4365	14
299	4377	0
