id,Car,Heavy_Vehicles,Motorcycle,Other,Pedalcycle
345828,2,0,0,0,0
345829,2,0,0,0,0
345830,1,0,0,0,1
345831,1,0,0,0,0
345832,2,0,0,0,0
345833,2,0,0,0,0
345834,1,0,0,0,0
345835,3,0,0,0,0
345836,2,0,0,0,0
345837,3,0,0,0,0
345838,1,0,0,0,0
345839,1,0,0,0,0
345840,1,0,0,0,0
345841,2,0,0,0,0
345842,3,0,0,0,0
345843,1,0,0,0,0
345844,1,0,1,0,0
345845,2,0,0,0,0
345846,2,0,0,0,0
345847,2,0,0,0,0
345848,1,0,0,0,1
345849,1,0,1,0,0
345850,0,0,1,0,0
345851,1,1,0,0,0
345852,2,0,0,0,0
345853,1,0,1,0,0
345854,1,0,1,0,0
345855,1,0,0,0,1
345856,1,0,1,0,0
345857,2,0,0,0,0
345858,1,0,0,0,0
345859,2,0,0,0,0
345860,1,0,0,0,1
345861,1,1,0,0,0
345862,2,0,0,0,0
345863,1,0,1,0,0
345864,1,0,0,0,1
345865,1,0,1,0,0
345866,3,0,0,0,0
345867,1,0,1,0,0
345868,2,0,0,0,0
345869,0,0,1,0,0
345870,1,0,0,0,0
345871,1,1,0,0,0
345872,2,0,0,0,0
345873,2,0,0,0,0
345874,1,0,1,0,0
345875,1,0,0,0,1
345876,1,1,0,0,0
345877,1,0,1,0,0
345878,2,0,0,0,0
345879,2,0,0,0,0
345880,1,0,1,0,0
345881,2,0,0,0,0
345882,3,0,0,0,0
345883,1,0,0,0,0
345884,2,0,0,0,0
345885,1,0,0,0,0
345886,2,0,0,0,0
345887,1,0,0,0,0
345888,1,0,1,0,0
345889,0,2,0,0,0
345890,1,0,0,0,1
345891,1,0,0,0,0
345892,1,0,0,0,0
345893,1,0,0,0,0
345894,4,0,0,0,0
345895,1,0,1,0,0
345896,1,0,0,0,0
345897,2,0,0,0,0
345898,1,0,0,0,0
345899,1,0,1,0,0
345900,1,0,0,0,0
345901,1,0,0,0,1
345902,1,0,0,0,0
345903,1,0,0,0,1
345904,2,0,0,0,0
345905,2,0,0,0,0
345906,2,0,0,0,0
345907,2,0,0,0,0
345908,0,0,1,0,1
345909,1,0,0,0,0
345910,1,0,1,0,0
345911,2,0,0,0,0
345912,0,0,1,0,0
345913,0,1,0,0,0
345914,1,0,0,0,1
345915,1,0,0,0,1
345916,0,0,0,0,1
345917,1,0,0,0,0
345918,2,0,0,0,0
345919,2,0,0,0,0
345920,3,0,0,0,0
345921,1,0,1,0,0
345922,2,0,0,0,0
345923,1,0,0,0,1
345924,2,0,0,0,0
345925,1,0,0,0,1
345926,1,0,0,0,1
345927,1,0,1,0,0
345928,1,0,1,0,0
345929,1,0,0,0,1
345930,1,0,1,0,0
345931,2,0,0,0,0
345932,1,0,1,0,0
345933,2,0,0,0,0
345934,1,0,1,0,0
345935,2,0,0,0,0
345936,2,0,0,0,0
345937,3,0,0,0,0
345938,3,0,0,0,0
345939,2,0,0,0,0
345940,3,0,0,0,0
345941,1,0,0,0,1
345942,3,0,0,0,0
345943,1,0,0,0,0
345944,0,1,0,0,0
345945,2,0,0,0,0
345946,1,0,0,0,1
345947,1,1,0,0,0
345948,1,0,0,1,0
345949,2,0,0,0,0
345950,1,0,0,0,0
345951,1,0,0,0,1
345952,1,0,0,0,0
345953,2,0,0,0,0
345954,1,0,0,0,1
345955,2,0,0,0,0
345956,1,0,1,0,0
345957,1,0,0,0,0
345958,2,0,0,0,0
345959,1,0,0,1,0
