id,type,num_vehicles
345828,"['Car', 'Car']",2
345829,"['Car', 'Car']",2
345830,"['Pedalcycle', 'Car']",2
345831,['Car'],1
345832,"['Car', 'Car']",2
345833,"['Car', 'Car']",2
345834,['Car'],1
345835,"['Car', 'Car', 'Car']",3
345836,"['Car', 'Car']",2
345837,"['Car', 'Car', 'Car']",3
345838,['Car'],1
345839,['Car'],1
345840,['Car'],1
345841,"['Car', 'Car']",2
345842,"['Car', 'Car', 'Car']",3
345843,['Car'],1
345844,"['Motorcycle', 'Car']",2
345845,"['Car', 'Car']",2
345846,"['Car', 'Car']",2
345847,"['Car', 'Car']",2
345848,"['Pedalcycle', 'Car']",2
345849,"['Motorcycle', 'Car']",2
345850,['Motorcycle'],1
345851,"['Car', 'Heavy_Vehicles']",2
345852,"['Car', 'Car']",2
345853,"['Motorcycle', 'Car']",2
345854,"['Motorcycle', 'Car']",2
345855,"['Pedalcycle', 'Car']",2
345856,"['Motorcycle', 'Car']",2
345857,"['Car', 'Car']",2
345858,['Car'],1
345859,"['Car', 'Car']",2
345860,"['Pedalcycle', 'Car']",2
345861,"['Car', 'Heavy_Vehicles']",2
345862,"['Car', 'Car']",2
345863,"['Motorcycle', 'Car']",2
345864,"['Pedalcycle', 'Car']",2
345865,"['Motorcycle', 'Car']",2
345866,"['Car', 'Car', 'Car']",3
345867,"['Motorcycle', 'Car']",2
345868,"['Car', 'Car']",2
345869,['Motorcycle'],1
345870,['Car'],1
345871,"['Car', 'Heavy_Vehicles']",2
345872,"['Car', 'Car']",2
345873,"['Car', 'Car']",2
345874,"['Motorcycle', 'Car']",2
345875,"['Pedalcycle', 'Car']",2
345876,"['Heavy_Vehicles', 'Car']",2
345877,"['Motorcycle', 'Car']",2
345878,"['Car', 'Car']",2
345879,"['Car', 'Car']",2
345880,"['Motorcycle', 'Car']",2
345881,"['Car', 'Car']",2
345882,"['Car', 'Car', 'Car']",3
345883,['Car'],1
345884,"['Car', 'Car']",2
345885,['Car'],1
345886,"['Car', 'Car']",2
345887,['Car'],1
345888,"['Motorcycle', 'Car']",2
345889,"['Heavy_Vehicles', 'Heavy_Vehicles']",2
345890,"['Pedalcycle', 'Car']",2
345891,['Car'],1
345892,['Car'],1
345893,['Car'],1
345894,"['Car', 'Car', 'Car', 'Car']",4
345895,"['Motorcycle', 'Car']",2
345896,['Car'],1
345897,"['Car', 'Car']",2
345898,['Car'],1
345899,"['Motorcycle', 'Car']",2
345900,['Car'],1
345901,"['Pedalcycle', 'Car']",2
345902,['Car'],1
345903,"['Pedalcycle', 'Car']",2
345904,"['Car', 'Car']",2
345905,"['Car', 'Car']",2
345906,"['Car', 'Car']",2
345907,"['Car', 'Car']",2
345908,"['Pedalcycle', 'Motorcycle']",2
345909,['Car'],1
345910,"['Motorcycle', 'Car']",2
345911,"['Car', 'Car']",2
345912,['Motorcycle'],1
345913,['Heavy_Vehicles'],1
345914,"['Pedalcycle', 'Car']",2
345915,"['Pedalcycle', 'Car']",2
345916,['Pedalcycle'],1
345917,['Car'],1
345918,"['Car', 'Car']",2
345919,"['Car', 'Car']",2
345920,"['Car', 'Car', 'Car']",3
345921,"['Motorcycle', 'Car']",2
345922,"['Car', 'Car']",2
345923,"['Pedalcycle', 'Car']",2
345924,"['Car', 'Car']",2
345925,"['Pedalcycle', 'Car']",2
345926,"['Pedalcycle', 'Car']",2
345927,"['Motorcycle', 'Car']",2
345928,"['Motorcycle', 'Car']",2
345929,"['Pedalcycle', 'Car']",2
345930,"['Motorcycle', 'Car']",2
345931,"['Car', 'Car']",2
345932,"['Motorcycle', 'Car']",2
345933,"['Car', 'Car']",2
345934,"['Motorcycle', 'Car']",2
345935,"['Car', 'Car']",2
345936,"['Car', 'Car']",2
345937,"['Car', 'Car', 'Car']",3
345938,"['Car', 'Car', 'Car']",3
345939,"['Car', 'Car']",2
345940,"['Car', 'Car', 'Car']",3
345941,"['Pedalcycle', 'Car']",2
345942,"['Car', 'Car', 'Car']",3
345943,['Car'],1
345944,['Heavy_Vehicles'],1
345945,"['Car', 'Car']",2
345946,"['Pedalcycle', 'Car']",2
345947,"['Car', 'Heavy_Vehicles']",2
345948,"['Car', 'Other']",2
345949,"['Car', 'Car']",2
345950,['Car'],1
345951,"['Pedalcycle', 'Car']",2
345952,['Car'],1
345953,"['Car', 'Car']",2
345954,"['Pedalcycle', 'Car']",2
345955,"['Car', 'Car']",2
345956,"['Motorcycle', 'Car']",2
345957,['Car'],1
345958,"['Car', 'Car']",2
345959,"['Car', 'Other']",2
345960,"['Pedalcycle', 'Motorcycle']",2
345961,['Other'],1
345962,"['Car', 'Car']",2
345963,"['Motorcycle', 'Car']",2
345964,"['Car', 'Car']",2
345965,"['Car', 'Car']",2
345966,['Motorcycle'],1
345967,"['Car', 'Car']",2
345968,"['Pedalcycle', 'Car']",2
345969,"['Pedalcycle', 'Car']",2
345970,"['Motorcycle', 'Car']",2
345971,['Car'],1
345972,['Car'],1
345973,"['Car', 'Car', 'Car']",3
345974,"['Pedalcycle', 'Car']",2
345975,"['Motorcycle', 'Car']",2
345976,['Motorcycle'],1
345977,"['Motorcycle', 'Car']",2
345978,['Car'],1
345979,"['Motorcycle', 'Car']",2
345980,"['Motorcycle', 'Car', 'Car']",3
345981,['Car'],1
345982,"['Motorcycle', 'Car']",2
345983,"['Car', 'Car']",2
345984,"['Car', 'Car']",2
345985,"['Motorcycle', 'Car']",2
345986,"['Car', 'Car']",2
345987,"['Car', 'Car']",2
345988,"['Pedalcycle', 'Car']",2
345989,"['Car', 'Car']",2
345990,['Car'],1
345991,"['Pedalcycle', 'Car']",2
345992,"['Car', 'Car', 'Car', 'Car']",4
345993,"['Pedalcycle', 'Car']",2
345994,['Car'],1
345995,['Car'],1
345996,"['Car', 'Car']",2
345997,"['Pedalcycle', 'Car']",2
345998,['Heavy_Vehicles'],1
345999,"['Car', 'Heavy_Vehicles']",2
346000,"['Motorcycle', 'Car']",2
346001,"['Car', 'Car']",2
346002,['Car'],1
346003,"['Car', 'Car', 'Car']",3
346004,"['Car', 'Car']",2
346005,"['Pedalcycle', 'Car']",2
346006,['Car'],1
346007,['Motorcycle'],1
346008,"['Car', 'Other']",2
346009,"['Motorcycle', 'Car']",2
346010,"['Car', 'Car']",2
346011,['Car'],1
346012,"['Car', 'Car']",2
346013,"['Car', 'Car', 'Car']",3
346014,['Car'],1
346015,['Car'],1
346016,"['Motorcycle', 'Car']",2
346017,"['Pedalcycle', 'Car']",2
346018,['Car'],1
346019,['Car'],1
346020,['Car'],1
346021,['Car'],1
346022,"['Car', 'Car', 'Car']",3
346023,"['Car', 'Car']",2
346024,"['Car', 'Heavy_Vehicles']",2
346025,['Heavy_Vehicles'],1
346026,"['Car', 'Car', 'Car', 'Car']",4
346027,"['Motorcycle', 'Car']",2
346028,"['Car', 'Car']",2
346029,"['Car', 'Car']",2
346030,"['Car', 'Car']",2
346031,"['Car', 'Car']",2
346032,['Motorcycle'],1
346033,"['Car', 'Car']",2
346034,"['Motorcycle', 'Car']",2
346035,['Heavy_Vehicles'],1
346036,"['Car', 'Car']",2
346037,['Motorcycle'],1
346038,"['Car', 'Car', 'Car']",3
346039,"['Car', 'Car']",2
346040,"['Motorcycle', 'Car']",2
346041,"['Pedalcycle', 'Car']",2
346042,"['Pedalcycle', 'Car']",2
346043,"['Motorcycle', 'Car']",2
346044,"['Motorcycle', 'Car']",2
346045,"['Car', 'Car']",2
346046,['Car'],1
346047,['Motorcycle'],1
346048,"['Motorcycle', 'Car']",2
346049,['Car'],1
346050,['Car'],1
346051,"['Motorcycle', 'Car']",2
346052,"['Motorcycle', 'Car']",2
346053,"['Car', 'Car']",2
346054,['Car'],1
346055,['Car'],1
346056,"['Motorcycle', 'Car']",2
346057,['Heavy_Vehicles'],1
346058,"['Car', 'Car', 'Car', 'Car']",4
346059,['Heavy_Vehicles'],1
346060,"['Pedalcycle', 'Car']",2
346061,['Car'],1
346062,"['Motorcycle', 'Car']",2
346063,"['Pedalcycle', 'Car']",2
346064,"['Pedalcycle', 'Car']",2
346065,"['Car', 'Car']",2
346066,"['Motorcycle', 'Car']",2
346067,"['Motorcycle', 'Car']",2
346068,"['Motorcycle', 'Car']",2
346069,"['Car', 'Heavy_Vehicles']",2
346070,"['Car', 'Car']",2
346071,['Heavy_Vehicles'],1
346072,"['Pedalcycle', 'Car']",2
346073,['Car'],1
346074,"['Car', 'Car']",2
346075,['Pedalcycle'],1
346076,"['Car', 'Car']",2
346077,['Car'],1
346078,['Other'],1
346079,['Car'],1
346080,"['Motorcycle', 'Car']",2
346081,"['Motorcycle', 'Car']",2
346082,['Car'],1
346083,['Motorcycle'],1
346084,"['Motorcycle', 'Motorcycle']",2
346085,"['Motorcycle', 'Car']",2
346086,"['Pedalcycle', 'Car']",2
346087,"['Car', 'Car']",2
346088,"['Motorcycle', 'Car']",2
346089,"['Motorcycle', 'Car']",2
346090,"['Car', 'Car']",2
346091,"['Car', 'Car', 'Car']",3
346092,"['Motorcycle', 'Car']",2
346093,"['Pedalcycle', 'Car']",2
346094,"['Car', 'Other']",2
346095,"['Car', 'Car']",2
346096,"['Car', 'Car']",2
346097,"['Car', 'Car', 'Car']",3
346098,['Car'],1
346099,"['Car', 'Heavy_Vehicles']",2
346100,"['Car', 'Car']",2
346101,"['Pedalcycle', 'Car']",2
346102,['Car'],1
346103,"['Pedalcycle', 'Car']",2
346104,"['Motorcycle', 'Car']",2
346105,['Car'],1
346106,['Car'],1
346107,"['Pedalcycle', 'Heavy_Vehicles']",2
346108,"['Pedalcycle', 'Car']",2
346109,"['Motorcycle', 'Car']",2
346110,"['Motorcycle', 'Car']",2
346111,"['Motorcycle', 'Car']",2
346112,['Heavy_Vehicles'],1
346113,"['Car', 'Car']",2
346114,"['Motorcycle', 'Car']",2
346115,['Car'],1
346116,"['Car', 'Heavy_Vehicles']",2
346117,"['Motorcycle', 'Car']",2
346118,['Car'],1
346119,['Car'],1
346120,"['Car', 'Car']",2
346121,['Car'],1
346122,['Car'],1
346123,['Car'],1
346124,"['Car', 'Car']",2
346125,"['Car', 'Heavy_Vehicles']",2
346126,['Heavy_Vehicles'],1
346127,"['Pedalcycle', 'Car']",2
346128,['Car'],1
346129,"['Pedalcycle', 'Car', 'Car']",3
346130,"['Pedalcycle', 'Car']",2
346131,"['Motorcycle', 'Car']",2
346132,"['Motorcycle', 'Car', 'Car']",3
346133,"['Pedalcycle', 'Car']",2
346134,"['Car', 'Car']",2
346135,"['Car', 'Other']",2
346136,"['Car', 'Car']",2
346137,"['Car', 'Car']",2
346138,['Car'],1
346139,['Heavy_Vehicles'],1
346140,"['Pedalcycle', 'Car']",2
346141,['Heavy_Vehicles'],1
346142,['Car'],1
346143,['Other'],1
346144,"['Car', 'Car', 'Car', 'Car']",4
346145,['Car'],1
346146,"['Motorcycle', 'Car']",2
346147,"['Car', 'Heavy_Vehicles']",2
346148,"['Car', 'Car']",2
346149,"['Pedalcycle', 'Car']",2
346150,"['Motorcycle', 'Car']",2
346151,"['Pedalcycle', 'Car']",2
346152,"['Motorcycle', 'Car']",2
346153,['Car'],1
346154,"['Car', 'Heavy_Vehicles']",2
346155,"['Car', 'Car']",2
346156,"['Car', 'Car']",2
346157,"['Car', 'Car', 'Car', 'Car']",4
346158,"['Pedalcycle', 'Car']",2
346159,"['Pedalcycle', 'Motorcycle']",2
346160,['Car'],1
346161,"['Car', 'Car']",2
346162,"['Pedalcycle', 'Car']",2
346163,"['Car', 'Heavy_Vehicles']",2
346164,"['Pedalcycle', 'Car']",2
346165,"['Motorcycle', 'Motorcycle']",2
346166,['Pedalcycle'],1
346167,['Motorcycle'],1
346168,['Pedalcycle'],1
346169,"['Car', 'Car']",2
346170,"['Car', 'Car', 'Car']",3
346171,"['Motorcycle', 'Car', 'Car']",3
346172,['Pedalcycle'],1
346173,['Car'],1
346174,"['Car', 'Car', 'Car']",3
346175,"['Motorcycle', 'Car']",2
346176,['Pedalcycle'],1
346177,['Heavy_Vehicles'],1
346178,['Car'],1
346179,['Motorcycle'],1
346180,"['Car', 'Car', 'Car', 'Car']",4
346181,"['Car', 'Car']",2
346182,['Motorcycle'],1
346183,['Car'],1
346184,['Car'],1
346185,['Car'],1
